baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EQU24_RS00350	1051.33962939899	-0.192725007411187	0.111334062945859	-1.73105159653526	0.0834425623083759	0.498971276296859
EQU24_RS00355	1358.10452597301	0.0394154059515707	0.102815505683012	0.38336052222601	0.701452470205828	0.957024369755167
EQU24_RS00360	584.37221095349	-0.235695154316079	0.111707352738553	-2.10993411389593	0.0348640313585566	0.319073085177175
EQU24_RS00365	829.051147382559	-0.0161673187610557	0.11176394401866	-0.144655943408336	0.884982525254617	0.990398743484802
EQU24_RS00370	197.665805800408	-0.0100299424765467	0.109670450476582	-0.0914552865695434	0.927130833433331	0.993608636712306
EQU24_RS00375	1031.75422517319	-0.0341700809062528	0.105921816022497	-0.322597196586918	0.747000317112741	0.966904170239204
EQU24_RS00380	1141.52548177405	-0.143663625319703	0.112130342786036	-1.2812198888381	0.200116442161075	0.701102396321267
EQU24_RS00390	400.523477707884	0.0726464147623548	0.109403708254613	0.664021502756436	0.506676548763044	0.900857511369007
EQU24_RS00395	975.981766151916	-0.0200530217086268	0.0790002625037281	-0.253834874380075	0.799623129744816	0.979530264667012
EQU24_RS00400	1650.89959548586	-0.156991577330024	0.105680008116714	-1.48553714300099	0.137401591804472	0.616692917626908
EQU24_RS00405	1593.53332268498	-0.105869278659468	0.111464725014094	-0.949800743204473	0.342213508186458	0.83303601872168
EQU24_RS00410	1848.60046991178	0.00307727054599106	0.11115892485689	0.0276835220379547	0.977914566176159	0.997575308014409
EQU24_RS00415	2536.65330587755	-0.0601093650597795	0.112616282830602	-0.533753765875904	0.593511905201329	0.930980975278882
EQU24_RS00420	7852.81378356566	0.11212451720252	0.111082473451385	1.00938081156063	0.312792037344545	0.807900400562484
EQU24_RS00425	2164.4333157806	0.00285293171571391	0.112765992645761	0.0252995752422985	0.979816012731366	0.997864604436991
EQU24_RS00430	2114.93841746118	0.0314296411417352	0.110384731307566	0.284728157322434	0.775852416728948	0.97398224543549
EQU24_RS00435	3739.77996462337	0.0417975305137613	0.10777347373982	0.387827626440493	0.698143599626701	0.957024369755167
EQU24_RS00440	2920.94796461277	-0.101606310122687	0.110427708726108	-0.920116076796443	0.357512103914041	0.843474059695891
EQU24_RS00445	753.582833253294	-0.0322256915856111	0.112336606946435	-0.286867232877856	0.774213980835462	0.973129377633319
EQU24_RS00450	818.414058565961	-0.194116132971467	0.10862016026693	-1.7871096166166	0.0739197735090861	0.46170531620109
EQU24_RS00455	509.461783067854	-0.103143028220282	0.11140319707352	-0.925853394963282	0.354522174093524	0.841421800146064
EQU24_RS00460	883.062665074004	-0.162704436842182	0.11294353946649	-1.44058206083099	0.149702791462148	0.633998390704332
EQU24_RS00465	1030.29194332164	-0.0280899078219936	0.111221649505121	-0.25255791428179	0.800609855344043	0.979530264667012
EQU24_RS00470	568.25582846306	-0.168395386097179	0.112683329756303	-1.49441258490819	0.135067814231682	0.612509773302323
EQU24_RS00475	773.643329884174	-0.267174994513664	0.112789746018392	-2.36878797891873	0.0178464808026788	0.216301491049884
EQU24_RS00480	799.186475246328	0.0111704565115373	0.111330150614824	0.100336310063789	0.920077331667509	0.993272817686395
EQU24_RS00485	954.076665198837	-0.162007224008426	0.112392021773981	-1.44144772423633	0.149458235815593	0.633627562764425
EQU24_RS00490	836.288369947239	-0.0995232302567395	0.111805800308227	-0.890143713316961	0.37338872345357	0.849141677168207
EQU24_RS00495	654.138777973016	-0.0828587632149035	0.106525418011801	-0.777830913610914	0.436668700902386	0.878367755596068
EQU24_RS00500	1574.12183822537	-0.0245268823433607	0.111582132253702	-0.219810124147785	0.826019034532458	0.980544963034389
EQU24_RS00505	3294.70229238517	-0.293564980807938	0.100187377779244	-2.93015934057868	0.00338788232685245	0.0683674653558825
EQU24_RS00510	4189.87635129031	-0.315928725244595	0.104016589106233	-3.03729172393775	0.00238714307511724	0.0544322567862892
EQU24_RS00515	3903.24564130285	-0.202110285934044	0.112924563813441	-1.7897814178671	0.0734890575837694	0.461278128161887
EQU24_RS00520	15258.5127463395	-0.225212700467508	0.108097530141297	-2.08342133417041	0.0372128353025746	0.328497538876743
EQU24_RS00525	397.524698868818	-0.594279862861328	0.0981868299364467	-6.0525414991602	1.4257825165638e-09	5.75445823685151e-07
EQU24_RS00530	10236.3689289957	-0.0120953548550906	0.109943058847744	-0.110014720182026	0.912397700761618	0.992455929976611
EQU24_RS00535	12261.5308913307	-0.191200714608242	0.10802909901783	-1.76990011345634	0.0767437819336793	0.474330633819801
EQU24_RS00540	3175.96452339949	-0.156298676678878	0.109455845626851	-1.42796098082985	0.153303089743222	0.638525562645661
EQU24_RS00545	509.073099559762	-0.266153090054707	0.112666370071299	-2.36231175182334	0.0181613624915713	0.218803758256662
EQU24_RS00550	571.46363607059	-0.0416069294197902	0.111324561936651	-0.373744380359353	0.708594503409611	0.957538518618781
EQU24_RS00555	949.713475575667	-0.000141060112432998	0.110107480430103	-0.00128111288971456	0.99897782008426	0.999494476800903
EQU24_RS00560	1070.73322251654	0.104199306553802	0.111452381328772	0.934922209032268	0.349828390665871	0.839695433281654
EQU24_RS00565	248.266165035538	-0.0308968535868696	0.112438188346484	-0.274789678144398	0.783477828597997	0.975059055264112
EQU24_RS00570	5464.67540850402	-0.0934382716703245	0.111414117320129	-0.838657379493896	0.401661601651691	0.859507453916842
EQU24_RS00575	2389.34138680523	-0.228771587362907	0.1083188005037	-2.11202105543157	0.0346846433713966	0.318877495778945
EQU24_RS00580	670.073117718649	0.161520942458087	0.112686092155943	1.43337069702056	0.151751927966065	0.636471907976156
EQU24_RS00585	3361.35897699098	0.0804253152232537	0.112315823370168	0.716063977541166	0.473951845391638	0.888411035069087
EQU24_RS00590	12842.6744938529	0.105212744172727	0.110261111821623	0.954214431856411	0.3399751108907	0.830752181032194
EQU24_RS00595	6688.01063973233	0.0185754410557963	0.112681340571212	0.164849308338297	0.869062592477111	0.989990579519509
EQU24_RS00600	359.707544206945	-0.28413519501352	0.103272892605075	-2.75130470200035	0.00593584021618919	0.0979587979146587
EQU24_RS00605	1606.71974140626	-0.34401852959613	0.112836470203612	-3.04882392169265	0.00229739090833737	0.0529843983202835
EQU24_RS00610	1783.94300296906	-0.0313785102336342	0.106954714910743	-0.29338127131488	0.769230739276015	0.972200555689298
EQU24_RS00620	2088.49898208542	-0.0470048051971009	0.111264886344494	-0.422458573781905	0.672690332026304	0.951315745612003
EQU24_RS00625	1787685.10890011	0.0187120320436553	0.0294241699630005	0.635940863147023	NA	NA
EQU24_RS00630	4484.9812624086	0.192343292326216	0.0801527377444028	2.39970957622902	0.01640808419127	0.206946961862393
EQU24_RS00635	1817.37165547641	-0.199120642252506	0.0853625607970375	-2.33264607332886	0.0196667286801411	0.228705007176431
EQU24_RS00640	1480709.55883488	0.0323127497360354	0.0353378107738937	0.914395912717574	NA	NA
EQU24_RS00645	3703.24704446466	-0.0270030175698969	0.0340108118831579	-0.793953924495072	NA	NA
EQU24_RS00650	790.727460401239	-0.0962067648735484	0.112681600581838	-0.853793027226978	0.39321967863214	0.856067685507767
EQU24_RS00655	514.978813971725	-0.0860329766275304	0.111505111554266	-0.771560831860705	0.440374580124943	0.879877131378352
EQU24_RS00660	749.744611768062	-0.0574439253061486	0.101624670351033	-0.565255711115472	0.571899848210042	0.928101241405601
EQU24_RS00665	499.88507818152	-0.00135048704076723	0.112544011561368	-0.0119996348275789	0.990425906400616	0.998780582596626
EQU24_RS00670	1272.79761928881	-0.0461999226433221	0.0712904233074095	-0.648052297909702	NA	NA
EQU24_RS00675	1813.16611287064	-0.0990860616362387	0.100331944174488	-0.987582394136781	0.323357212220874	0.819172335185351
EQU24_RS00680	2885.84416885246	-0.162770098901327	0.110121670442687	-1.47809326036369	0.139382817784188	0.61905639379617
EQU24_RS00685	633.527052189391	-0.145110121632861	0.10918673713347	-1.32900868221273	0.183845105477636	0.679245665662532
EQU24_RS00690	1365.37328561228	-0.340705489840858	0.112722402179331	-3.02251800222308	0.00250681171891651	0.0558977463952874
EQU24_RS00695	488.324756880908	-0.286177348300388	0.11268793773516	-2.53955617657113	0.0110993218713837	0.154471941630706
EQU24_RS00700	861.491698622167	-0.0776337589078758	0.110111453420695	-0.705047081807793	0.480780936786783	0.892168380208928
EQU24_RS00705	1757.50133204492	-0.0572862781428816	0.11110324775037	-0.515612993344662	0.606124733522345	0.935169548504755
